CODVIA,CIVICO,BARRATO,X,Y,DENOMINAZIONE,CATEGORIA,GRADO,SOTTOTIPO,TIPO_U,MATRICE,NUM_ISCR,COD_SEDE,INDIRIZZO,TIPO,PARITARIA,NUM_CLASSI,TIPO_IST,ATTIVITA,MUNICIPIO,ID_NIL,NIL,LONG_X_4326,LAT_Y_4326,Location,ANNOSCOL,CODICE
402,110,,1515481.783,5033515.322,IPSSCT L.V.BERTARELLI SERALE,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO PROFESSIONALE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,385,4024,CSO DI PORTA ROMANA 110,STATALE,PARITARIA,16,ISTITUTO PROFESSIONALE STATALE PER I SERVIZI COMMERCIALI E TURISTICI SERALE,SERALE,1,5,PORTA VIGENTINA - PORTA LODOVICA,9.197645817,45.45481256,"(45.4548125632904, 9.19764581678753)",,
5090,14,,1513411.009,5034086.017,IPSSCTS B.CAVALIERI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO PROFESSIONALE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,1004,4029,VIA OLONA 14,STATALE,PARITARIA,50,"ISTITUTO PROFESSIONALE STATALE PER I SERVIZI COMMERCIALI, TURISTIC E SOCIALII",DIURNO,1,7,MAGENTA - S. VITTORE,9.171177836,45.45999206,"(45.4599920612025, 9.17117783551856)",,
7118,9,,1513578.744,5036099.011,IPSSCT D.MARIGNONI-M.POLO,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO PROFESSIONALE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,672,4033,VIA MELZI D'ERIL FRANCESCO 9,STATALE,PARITARIA,35,ISTITUTO PROFESSIONALE STATALE PER I SERVIZI COMMERCIALI E TURISTICI,DIURNO,1,69,SARPI,9.173378658,45.47810774,"(45.4781077375582, 9.17337865807891)",,
3364,34,,1519432.193,5034010.927,IPSSCT B.ORIANI-G.MAZZINI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO PROFESSIONALE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,1273,4038,VIA ZANTE 34,STATALE,PARITARIA,61,ISTITUTO PROFESSIONALE STATALE PER I SERVIZI COMMERCIALI E TURISTICI,DIURNO,4,30,TALIEDO - MORSENCHIO - Q.RE FORLANINI,9.248187663,45.45917504,"(45.4591750354149, 9.24818766265366)",,
7473,1,,1510260.869,5040137.026,IPSSCT P.FRISI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO PROFESSIONALE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,685,4042,VIA OTRANTO 1,STATALE,PARITARIA,34,ISTITUTO PROFESSIONALE STATALE PER I SERVIZI COMMERCIALI E TURISTICI,DIURNO,8,76,QUARTO OGGIARO - VIALBA - MUSOCCO,9.131012255,45.51451012,"(45.5145101194897, 9.13101225459406)",,
2580,8,,1518538.468,5035663.366,IPSSAR A.VESPUCCI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO PROFESSIONALE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,1190,4043,VIA VALVASSORI PERONI CARLO 8,STATALE,PARITARIA,51,ISTITUTO PROFESSIONALE STATALE ALBERGHIERO,DIURNO,3,22,CITTA' STUDI,9.236819004,45.47407277,"(45.4740727730586, 9.23681900375224)",,
7495,26,2,1509384.739,5038223.781,IPSSAR C.PORTA,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO PROFESSIONALE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,1251,4045,VIA URUGUAY 26 2,STATALE,PARITARIA,49,ISTITUTO PROFESSIONALE STATALE ALBERGHIERO,DIURNO,8,65,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO,9.119758986,45.4973014,"(45.4973014036957, 9.11975898589323)",,
2297,7,,1517216.743,5037589.116,IPSS GIOVANNI XXIII,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO PROFESSIONALE,STUDENTI,SERVIZI PRIVATI ESISTENTI,11,4047,VIA TERMOPILI 7,ENTE PRIVATO LAICO,PRIVATA PARITARIA,1,ISTITUTO PROFESSIONALE SERVIZI SOCIALI,DIURNO,2,20,LORETO - CASORETTO - NOLO,9.219976865,45.49144006,"(45.4914400629123, 9.21997686537182)",,
2400,89,,1517477.333,5037230.226,IPSCP CATERINA DA SIENA,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO PROFESSIONALE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,799,4050,VLE LOMBARDIA 89,STATALE,PARITARIA,38,ISTITUTO PROFESSIONALE STATALE PER I SERVIZI COMMERCIALI E DELLA PUBBLICITA',DIURNO,3,20,LORETO - CASORETTO - NOLO,9.223299001,45.48820326,"(45.4882032641257, 9.22329900135297)",,
5422,35,,1513507.779,5028526.087,IMS V.KANDINSKY,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO MAGISTRALE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,57,4078,VIA BARONI COSTANTINO 35,STATALE,PARITARIA,3,ISTITUTO MAGISTRALE STATALE,DIURNO,5,41,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE,9.172263526,45.40994512,"(45.4099451194148, 9.17226352588129)",,
